Isin;Nome;Replica
IE00BJ0KDQ92;Xtrackers MSCI World UCITS ETF 1C;FC
IE00B4L5Y983;iShares Core MSCI World UCITS ETF;FC
IE00BFY0GT14;State Street SPDR MSCI World UCITS ETF;FC
IE00B44Z5B48;State Street SPDR MSCI All Country World UCITS ETF USD Unhedged (Acc);FC
IE00BK5BQT80;Vanguard FTSE All-World UCITS ETF (USD) Accumulating;FC
IE00B6R52259;iShares MSCI ACWI UCITS ETF USD (Acc);FC
IE00B4X9L533;HSBC MSCI World UCITS ETF USD;FC
IE00BD4TXV59;UBS Core MSCI World UCITS ETF USD acc;FT
IE000BI8OT95;Amundi Core MSCI World UCITS ETF Acc;FT
IE0003XJA0J9;Amundi Prime All Country World UCITS ETF Acc;FT
IE00B3YLTY66;State Street SPDR MSCI All Country World Investable Market UCITS ETF USD Unhedged (Acc);FC
IE00B60SX394;Invesco MSCI World UCITS ETF Acc;S
LU1681043599;Amundi MSCI World Swap UCITS ETF EUR Acc;S
IE00BK5BQV03;Vanguard FTSE Developed World UCITS ETF Acc;FC
LU0274208692;Xtrackers MSCI World Swap UCITS ETF 1C;S
IE00BYM11H29;UBS MSCI ACWI SF UCITS ETF USD acc;S
IE000716YHJ7;Invesco FTSE All-World UCITS ETF Acc;FC
LU1829220216;Amundi MSCI All Country World UCITS ETF EUR Acc;S
IE000UQND7H4;HSBC MSCI World UCITS ETF USD (Acc);FC
IE000F9IDGB5;iShares MSCI World Swap UCITS ETF USD (Acc);S
LU2903252349;Scalable MSCI AC World Xtrackers UCITS ETF 1C;I
FR0014003IY1;Amundi MSCI World Swap II UCITS ETF Acc;S
LU1681043672;Amundi MSCI World Swap UCITS ETF USD Acc;S
IE00BKM4GZ66;iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc);FT
IE00BTJRMP35;Xtrackers MSCI Emerging Markets UCITS ETF 1C;FC
IE00B4L5YC18;iShares MSCI EM UCITS ETF (Acc);FT
LU0950674175;UBS Core MSCI EM UCITS ETF USD acc;FC
LU2573967036;Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc;S
